time,streamflow_cms
2003-10-01,29.360525
2003-10-02,28.924215
2003-10-03,28.566269
2003-10-04,28.242472
2003-10-05,27.937239
2003-10-06,27.644327
2003-10-07,27.82074
2003-10-08,28.86815
2003-10-09,30.829588
2003-10-10,33.599083
2003-10-11,31.075657
2003-10-12,28.782042
2003-10-13,29.975477
2003-10-14,32.208122
2003-10-15,28.8459
2003-10-16,26.800364
2003-10-17,37.5613
2003-10-18,69.98905
2003-10-19,66.30806
2003-10-20,52.207455
2003-10-21,64.04656
2003-10-22,61.611427
2003-10-23,54.129673
2003-10-24,44.671734
2003-10-25,33.7595
2003-10-26,27.001883
2003-10-27,24.123055
2003-10-28,25.089476
2003-10-29,35.425316
2003-10-30,30.663067
2003-10-31,25.05243
2003-11-01,22.46492
2003-11-02,21.504332
2003-11-03,21.102652
2003-11-04,20.858519
2003-11-05,20.65385
2003-11-06,20.459454
2003-11-07,20.268995
2003-11-08,20.080927
2003-11-09,19.894482
2003-11-10,19.708998
2003-11-11,19.523865
2003-11-12,19.338526
2003-11-13,19.152515
2003-11-14,18.965405
2003-11-15,18.776901
2003-11-16,18.586838
2003-11-17,18.395113
2003-11-18,18.201721
2003-11-19,18.006746
2003-11-20,17.810333
2003-11-21,17.612658
2003-11-22,17.413965
2003-11-23,17.214497
2003-11-24,17.014507
2003-11-25,16.814253
2003-11-26,16.614029
2003-11-27,16.41406
2003-11-28,16.214628
2003-11-29,16.01596
2003-11-30,15.818262
2003-12-01,15.621724
2003-12-02,15.426534
2003-12-03,15.232859
2003-12-04,15.040812
2003-12-05,14.85052
2003-12-06,14.662094
2003-12-07,14.475622
2003-12-08,14.291169
2003-12-09,14.10883
2003-12-10,13.92865
2003-12-11,13.75069
2003-12-12,13.574988
2003-12-13,13.401562
2003-12-14,13.230432
2003-12-15,13.061625
2003-12-16,12.895133
2003-12-17,12.730934
2003-12-18,12.569025
2003-12-19,12.4093685
2003-12-20,12.251932
2003-12-21,12.096704
2003-12-22,11.943651
2003-12-23,11.792716
2003-12-24,11.643875
2003-12-25,11.497107
2003-12-26,11.352374
2003-12-27,11.209659
2003-12-28,11.068934
2003-12-29,10.930175
2003-12-30,10.793374
2003-12-31,10.658508
2004-01-01,10.525542
2004-01-02,10.394461
2004-01-03,10.265228
2004-01-04,10.137826
2004-01-05,10.012217
2004-01-06,9.888357
2004-01-07,9.766185
2004-01-08,9.645645
2004-01-09,9.52668
2004-01-10,9.409223
2004-01-11,9.293193
2004-01-12,9.178499
2004-01-13,9.065063
2004-01-14,8.952801
2004-01-15,8.841638
2004-01-16,8.731485
2004-01-17,8.622288
2004-01-18,8.514
2004-01-19,8.406607
2004-01-20,8.300094
2004-01-21,8.194465
2004-01-22,8.089724
2004-01-23,7.985887
2004-01-24,7.8829694
2004-01-25,7.780995
2004-01-26,7.6800237
2004-01-27,7.5800858
2004-01-28,7.481192
2004-01-29,7.38337
2004-01-30,7.286632
2004-01-31,7.1910205
2004-02-01,7.0965447
2004-02-02,7.0032163
2004-02-03,6.9110527
2004-02-04,6.8200636
2004-02-05,6.7302475
2004-02-06,6.641615
2004-02-07,6.5541677
2004-02-08,6.467904
2004-02-09,6.3828287
2004-02-10,6.2989297
2004-02-11,6.2162127
2004-02-12,6.134669
2004-02-13,6.054297
2004-02-14,5.975088
2004-02-15,5.8970447
2004-02-16,5.8201537
2004-02-17,5.744394
