True Cost 	Penalty 	Adjusted Cost
-5.098000E-03	0.000000E+00	-5.098000E-03
5.172640E-01	0.000000E+00	5.172640E-01
4.052300E-01	0.000000E+00	4.052300E-01
9.990000E+02	0.000000E+00	9.990000E+02
9.315500E-02	0.000000E+00	9.315500E-02
1.240190E-01	0.000000E+00	1.240190E-01
1.477699E+00	0.000000E+00	1.477699E+00
-5.099000E-03	0.000000E+00	-5.099000E-03
3.565044E+00	0.000000E+00	3.565044E+00
1.802550E-01	0.000000E+00	1.802550E-01
7.995200E-02	0.000000E+00	7.995200E-02
1.958700E-02	0.000000E+00	1.958700E-02
8.691000E-02	0.000000E+00	8.691000E-02
2.017800E-02	0.000000E+00	2.017800E-02
-4.968000E-03	0.000000E+00	-4.968000E-03
3.343090E-01	0.000000E+00	3.343090E-01
-5.066000E-03	0.000000E+00	-5.066000E-03
-5.459780E-01	0.000000E+00	-5.459780E-01
-5.357910E-01	0.000000E+00	-5.357910E-01
9.990000E+02	0.000000E+00	9.990000E+02
-5.459780E-01	0.000000E+00	-5.459780E-01
