Run   obj.function   k_soil_multp  theta_sat_multp  aquiferBaseflowExp_multp  aquiferBaseflowRate_multp  qSurfScale_multp  summerLAI_multp  frozenPrecipMultip_multp  routingGammaScale_multp  routingGammaShape_multp  Fcapil_multp  tempCritRain_multp  heightCanopyBottom_multp  windReductionParam_multp  vGn_n_multp   thickness_multp  
1     -5.098000E-03  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
2     5.172640E-01  2.020492E+00  1.049730E+00  1.426055E+00  7.473938E-01  1.199504E+00  1.531216E+00  5.713407E-01  6.764704E-01  1.045839E+00  1.252143E+00  9.984625E-01  5.944687E+00  1.067671E+00  8.549161E-01  1.399909E+01  
3     4.052300E-01  7.990492E-01  1.124346E+00  1.375387E+00  1.000000E+00  1.488645E+00  1.035469E+00  9.960500E-01  8.009058E-01  9.739871E-01  6.832531E-01  1.001098E+00  1.103881E+00  4.538409E-01  1.000000E+00  1.845211E+01  
4     9.990000E+02  1.911846E+00  1.334224E+00  1.000000E+00  8.403550E-01  1.000000E+00  2.182419E-01  8.191484E-01  5.868976E-01  1.000000E+00  1.613787E+00  9.975263E-01  1.158069E+00  6.911201E-01  6.848888E-01  4.779530E+01  
5     9.315500E-02  1.000000E+00  1.000000E+00  1.856874E+00  1.000000E+00  9.451718E-01  1.000000E+00  1.014359E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.001799E+00  7.761389E+00  1.038410E+00  1.000000E+00  1.000000E+00  
6     1.240190E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.309291E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.865759E+01  
7     1.477699E+00  3.461478E-01  1.000000E+00  6.043731E-01  6.614075E-01  1.000000E+00  3.398245E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.370957E+00  1.000000E+00  2.757274E+01  1.000000E+00  8.433821E-01  1.000000E+00  
8     -5.099000E-03  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
9     3.565044E+00  1.000000E+00  9.931086E-01  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.992887E-01  1.000000E+00  1.642034E+00  7.796369E-01  2.797397E+00  
10    1.802550E-01  1.000000E+00  1.207374E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.014217E+00  1.000000E+00  1.000000E+00  9.993902E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
11    7.995200E-02  1.000000E+00  9.894779E-01  1.000000E+00  9.175646E-01  9.745757E-01  1.000000E+00  1.000000E+00  1.989462E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.908202E+00  
12    1.958700E-02  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.973300E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
13    8.691000E-02  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  9.280994E-01  1.000000E+00  1.000000E+00  1.000000E+00  9.996727E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
14    2.017800E-02  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.785677E+01  6.606064E-01  1.000000E+00  1.000000E+00  
15    -4.968000E-03  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  9.908261E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
16    3.343090E-01  1.000000E+00  1.079994E+00  1.000000E+00  1.000000E+00  9.745757E-01  3.379924E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  8.582895E-01  1.681291E+01  
17    -5.066000E-03  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.998621E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
18    -5.459780E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.496675E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
19    -5.357910E-01  1.000000E+00  1.000000E+00  1.602483E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.496675E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
20    9.990000E+02  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.496675E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  6.827411E-01  1.000000E+00  
21    -5.459780E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.745757E-01  1.000000E+00  1.496675E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  
